0.63	0.15364	0.2257	0.46724	0.49064	0.6022	0.53934	0.81236	0.50654	0.39974	0.4956	0.96395	0.3999	0.65418
0.635	0.15389	0.22549	0.46817	0.49132	0.60241	0.53998	0.81237	0.50775	0.40003	0.4955	0.96503	0.4001	0.65553
0.64	0.15463	0.22561	0.46901	0.49143	0.60229	0.54059	0.81247	0.50848	0.39976	0.49482	0.96446	0.39906	0.65489
0.645	0.15451	0.22563	0.46962	0.49177	0.60214	0.54129	0.81274	0.50866	0.39975	0.49419	0.96438	0.39857	0.65548
0.65	0.15511	0.22538	0.46983	0.49094	0.6017	0.54076	0.81215	0.50883	0.4005	0.49279	0.96432	0.39782	0.65416
0.655	0.15464	0.22496	0.46966	0.49078	0.60211	0.54064	0.81253	0.50823	0.39977	0.49222	0.96506	0.39634	0.65455
0.66	0.15513	0.22508	0.46926	0.49061	0.60134	0.54044	0.81296	0.50787	0.40014	0.49127	0.96434	0.39477	0.65289
0.665	0.15428	0.2249	0.46964	0.49061	0.60169	0.53974	0.81293	0.50784	0.39888	0.4901	0.96523	0.39199	0.65298
0.67	0.15478	0.2242	0.47018	0.48936	0.60156	0.53966	0.81342	0.50797	0.39909	0.48884	0.96508	0.39153	0.65202
0.675	0.15438	0.22404	0.46948	0.48886	0.6013	0.53906	0.81388	0.50872	0.39893	0.48797	0.96501	0.38917	0.65107
0.68	0.15453	0.22393	0.4693	0.4881	0.60082	0.5385	0.81411	0.50818	0.39818	0.48632	0.96396	0.38827	0.65021
0.685	0.15433	0.22333	0.46803	0.48681	0.60063	0.53725	0.8147	0.50776	0.39791	0.48527	0.965	0.38672	0.64784
0.69	0.15388	0.22311	0.46638	0.48563	0.60051	0.53533	0.8144	0.50783	0.3973	0.4837	0.96506	0.38474	0.64839
0.695	0.15382	0.22287	0.46424	0.48385	0.60127	0.5352	0.81478	0.50681	0.39719	0.48237	0.96463	0.38259	0.64651
0.7	0.15328	0.22213	0.46111	0.48165	0.60057	0.53352	0.81444	0.50689	0.3962	0.4804	0.96476	0.38075	0.64474
0.705	0.15348	0.22151	0.4586	0.48003	0.60052	0.53195	0.81475	0.50655	0.3967	0.4789	0.96503	0.37861	0.64344
0.71	0.15225	0.22105	0.45573	0.47717	0.60035	0.53022	0.81568	0.5064	0.3948	0.47673	0.96559	0.37626	0.64157
0.715	0.15249	0.22017	0.452	0.47299	0.60061	0.52791	0.81518	0.50613	0.39552	0.47381	0.96439	0.37465	0.64033
0.72	0.15134	0.2191	0.44852	0.46917	0.59977	0.52588	0.81564	0.50527	0.39389	0.47191	0.96585	0.37241	0.63797
0.725	0.15134	0.22011	0.44426	0.46542	0.60019	0.52318	0.81586	0.50624	0.39373	0.46844	0.96533	0.36973	0.63604
0.73	0.15005	0.21857	0.44021	0.46024	0.59881	0.51957	0.81589	0.50574	0.3913	0.46485	0.96554	0.36737	0.63282
0.735	0.14991	0.21729	0.43508	0.45393	0.59929	0.51624	0.81685	0.50569	0.3912	0.46089	0.96454	0.36488	0.62883
0.74	0.14869	0.21527	0.42999	0.44728	0.5987	0.51207	0.81689	0.50436	0.38927	0.45668	0.96437	0.36164	0.62613
0.745	0.14825	0.21294	0.42463	0.43911	0.5985	0.50686	0.81628	0.503	0.3885	0.45154	0.96558	0.35861	0.62323
0.75	0.14686	0.21052	0.41836	0.42955	0.59889	0.50165	0.81695	0.50148	0.38594	0.44607	0.96539	0.35475	0.61836
0.755	0.14623	0.20732	0.4118	0.42013	0.59935	0.49546	0.81691	0.5008	0.38441	0.43957	0.96529	0.35172	0.61426
0.76	0.14478	0.20392	0.4051	0.40886	0.59798	0.48875	0.81694	0.4995	0.38188	0.43227	0.96508	0.34718	0.60887
0.765	0.14387	0.19968	0.39672	0.39695	0.59827	0.48135	0.81749	0.49738	0.38012	0.42391	0.96559	0.34243	0.60248
0.77	0.14221	0.19557	0.38866	0.38401	0.5978	0.47237	0.81711	0.49517	0.37661	0.41512	0.96493	0.3378	0.59605
0.775	0.14048	0.19049	0.3791	0.3699	0.59802	0.46251	0.81695	0.49325	0.37358	0.40484	0.9646	0.33289	0.58846
0.78	0.13943	0.18534	0.36908	0.35503	0.59766	0.45187	0.81686	0.4904	0.37047	0.39346	0.9643	0.32623	0.58058
0.785	0.13729	0.17953	0.35847	0.3398	0.59796	0.44046	0.81819	0.48779	0.36553	0.38154	0.9645	0.31864	0.57106
0.79	0.13577	0.17355	0.34607	0.32347	0.59768	0.42671	0.81752	0.48462	0.36157	0.36849	0.96548	0.31139	0.56245
0.795	0.13295	0.16681	0.33282	0.30673	0.59726	0.41236	0.81783	0.4805	0.35548	0.35435	0.96509	0.30391	0.55004
