RELAB ID	DL-CMP-023	DL-CMP-028	DL-CMP-024	DL-CMP-020	DL-CMP-021	DL-CMP-061	DL-CMP-022	DL-CMP-003	DL-CMP-026	DL-CMP-004	DL-CMP-025	DL-CMP-001	DL-CMP-064	DL-CMP-065	DL-CMP-002	DL-CMP-027
Wavelength (um)	023 - En30 Fs70	028 - En25 Fs75	024 - En17 Fs83	020 - En17 Fs83	021 - En8 Fs92	061 - Fs100	022 - En75 Fs25	003 - En75 Fs25	026 - En70 Fs30	004 - En50 Fs50	025 - En35 Fs65	001 - En100	064 - En97.5Fs2.5	065 - En90 Fs10	002 - En80 Fs20	027 - En80 Fs20
0.685	0.36537	0.4082	0.41298	0.39497	0.3203	0.26464	0.74819	0.77497	0.77854	0.66571	0.41439	0.66007	0.71079	0.77251	0.75558	0.77217
0.69	0.3651	0.40733	0.41243	0.39414	0.32045	0.26434	0.74778	0.77503	0.77786	0.66499	0.41437	0.66185	0.71142	0.77265	0.7551	0.77111
0.695	0.36412	0.40529	0.41175	0.39361	0.32041	0.26388	0.74728	0.77407	0.7764	0.66305	0.41446	0.66236	0.71124	0.77264	0.75343	0.76992
0.7	0.36285	0.40433	0.41064	0.39209	0.3198	0.26333	0.74672	0.77284	0.77488	0.66127	0.41418	0.66407	0.71334	0.77246	0.75145	0.76902
0.705	0.3612	0.40182	0.40967	0.39108	0.3197	0.26269	0.74575	0.77079	0.77199	0.65874	0.41411	0.66499	0.71259	0.77165	0.74867	0.76574
0.71	0.35922	0.39945	0.40766	0.38957	0.31931	0.26172	0.74509	0.76931	0.76941	0.65481	0.41351	0.66646	0.71297	0.77187	0.74413	0.76191
0.715	0.35623	0.39496	0.40622	0.38702	0.31846	0.2607	0.74265	0.76744	0.76508	0.64953	0.41284	0.66808	0.71286	0.77058	0.73854	0.75762
0.72	0.35299	0.39137	0.40324	0.38442	0.31754	0.25919	0.74033	0.7632	0.7602	0.64455	0.41238	0.66971	0.71208	0.7695	0.73236	0.75215
0.725	0.34869	0.38549	0.40054	0.38209	0.3166	0.25776	0.73684	0.75778	0.75413	0.63665	0.41075	0.67018	0.71183	0.76762	0.7249	0.74564
0.73	0.34385	0.37904	0.39723	0.37863	0.31492	0.25582	0.73319	0.753	0.74676	0.62921	0.40918	0.67188	0.71063	0.7641	0.71621	0.73668
0.735	0.33768	0.37101	0.3923	0.3739	0.31291	0.25366	0.72771	0.7469	0.73761	0.61912	0.40649	0.67308	0.70937	0.76123	0.7042	0.72594
0.74	0.33019	0.36339	0.38744	0.36948	0.31095	0.25089	0.7217	0.73827	0.72746	0.60811	0.4038	0.6741	0.70778	0.75814	0.69159	0.71489
0.745	0.322	0.35393	0.38113	0.36355	0.30787	0.24779	0.71525	0.72834	0.71575	0.59618	0.40023	0.67502	0.7047	0.75281	0.67738	0.70125
0.75	0.31284	0.3439	0.37477	0.35697	0.30464	0.24461	0.70683	0.71714	0.70447	0.58164	0.39688	0.67582	0.7036	0.74859	0.66136	0.68732
0.755	0.30221	0.33232	0.36663	0.34872	0.30085	0.24093	0.69764	0.7053	0.68886	0.56639	0.39122	0.67709	0.70024	0.74137	0.64437	0.67037
0.76	0.29079	0.32022	0.35851	0.34066	0.29665	0.23703	0.68703	0.69209	0.67443	0.54975	0.38629	0.67802	0.6956	0.7346	0.62559	0.65402
0.765	0.2786	0.3067	0.34937	0.33078	0.29199	0.23198	0.67608	0.67869	0.65752	0.53142	0.3803	0.67901	0.69157	0.72655	0.60618	0.63528
0.77	0.26539	0.29124	0.33882	0.32095	0.28661	0.22695	0.66367	0.6635	0.63998	0.51239	0.37281	0.67979	0.68643	0.71747	0.58624	0.61604
0.775	0.25175	0.27663	0.32787	0.31018	0.28063	0.22125	0.6502	0.64736	0.62197	0.49296	0.36534	0.6815	0.68004	0.70696	0.56493	0.5961
0.78	0.23787	0.26201	0.31566	0.29919	0.2742	0.21503	0.63591	0.63037	0.60269	0.47216	0.35662	0.68168	0.67379	0.69632	0.54326	0.57494
0.785	0.22344	0.24648	0.30335	0.28828	0.26713	0.20845	0.62071	0.61309	0.58306	0.45139	0.34743	0.68252	0.66609	0.68518	0.52205	0.55396
0.79	0.20947	0.23117	0.29009	0.27588	0.25927	0.2011	0.60449	0.59491	0.5631	0.4305	0.33747	0.68317	0.65777	0.67296	0.49987	0.53278
0.795	0.19502	0.21543	0.27628	0.26337	0.25113	0.19314	0.5882	0.57717	0.54323	0.40887	0.32648	0.68351	0.64881	0.66	0.47831	0.51122
0.8	0.18196	0.20355	0.26357	0.25323	0.24327	0.18594	0.57305	0.55995	0.52349	0.38885	0.31615	0.68452	0.64193	0.64869	0.45821	0.49101
0.805	0.16708	0.18711	0.2481	0.23856	0.23287	0.17653	0.55376	0.53964	0.50234	0.36659	0.30321	0.68626	0.63218	0.63305	0.43458	0.46861
0.81	0.15404	0.17173	0.23341	0.22488	0.22294	0.16718	0.5362	0.52006	0.48172	0.34583	0.29067	0.68644	0.62075	0.61976	0.41394	0.44729
0.815	0.14144	0.15871	0.21958	0.21194	0.21268	0.15844	0.51846	0.50141	0.46227	0.32605	0.27846	0.68645	0.60973	0.60524	0.39415	0.42821
0.82	0.12962	0.14591	0.20559	0.19882	0.2025	0.14962	0.50103	0.48201	0.44198	0.30782	0.26585	0.68715	0.59873	0.59038	0.37416	0.40821
0.825	0.11957	0.13412	0.19296	0.18667	0.19277	0.1405	0.48427	0.46564	0.42435	0.28942	0.25351	0.68793	0.58738	0.57766	0.3568	0.38979
0.83	0.10983	0.12369	0.18056	0.17474	0.18277	0.13162	0.46718	0.44812	0.40618	0.27321	0.24129	0.68837	0.57554	0.56227	0.3394	0.37272
0.835	0.1011	0.11399	0.16888	0.16447	0.1737	0.12346	0.45197	0.43169	0.38944	0.25693	0.22955	0.68798	0.56551	0.54943	0.32318	0.35537
0.84	0.09338	0.10717	0.15785	0.15407	0.16395	0.11602	0.43644	0.41639	0.37402	0.24325	0.21824	0.68955	0.5544	0.53668	0.30818	0.34043
0.845	0.08656	0.099	0.14811	0.14483	0.15548	0.10853	0.42205	0.40149	0.35828	0.22964	0.20685	0.69037	0.54378	0.52455	0.29446	0.32552
0.85	0.08044	0.09298	0.13882	0.13634	0.1473	0.1019	0.40874	0.38755	0.34424	0.21747	0.19649	0.68993	0.53381	0.51195	0.28143	0.31249
0.855	0.0746	0.08638	0.12989	0.12795	0.13954	0.09622	0.3962	0.3741	0.33123	0.20645	0.18693	0.68969	0.52026	0.50094	0.26976	0.30022
0.86	0.07022	0.08196	0.12244	0.1205	0.13183	0.08954	0.38391	0.36252	0.31955	0.19643	0.17745	0.6924	0.51346	0.4909	0.25789	0.28939
0.865	0.06595	0.07678	0.11488	0.11402	0.12517	0.08436	0.37301	0.35144	0.30852	0.18653	0.16898	0.69121	0.50255	0.4821	0.24883	0.2787
